"name","version","license"
"adler2","2.0.1","0BSD OR MIT OR Apache-2.0"
"ahash","0.8.12","MIT OR Apache-2.0"
"allocator-api2","0.2.21","MIT OR Apache-2.0"
"anyhow","1.0.100","MIT OR Apache-2.0"
"ark-bn254","0.5.0","MIT OR Apache-2.0"
"ark-crypto-primitives","0.5.0","MIT/Apache-2.0"
"ark-crypto-primitives-macros","0.5.0","MIT/Apache-2.0"
"ark-ec","0.5.0","MIT OR Apache-2.0"
"ark-ff","0.5.0","MIT OR Apache-2.0"
"ark-ff-asm","0.5.0","MIT OR Apache-2.0"
"ark-ff-macros","0.5.0","MIT OR Apache-2.0"
"ark-groth16","0.5.0","MIT/Apache-2.0"
"ark-poly","0.5.0","MIT OR Apache-2.0"
"ark-r1cs-std","0.5.0","MIT/Apache-2.0"
"ark-relations","0.5.1","MIT/Apache-2.0"
"ark-serialize","0.5.0","MIT OR Apache-2.0"
"ark-serialize-derive","0.5.0","MIT OR Apache-2.0"
"ark-snark","0.5.1","MIT/Apache-2.0"
"ark-std","0.5.0","MIT/Apache-2.0"
"arrayvec","0.7.6","MIT OR Apache-2.0"
"autocfg","1.5.0","Apache-2.0 OR MIT"
"bit-vec","0.8.0","Apache-2.0 OR MIT"
"bitflags","1.3.2","MIT/Apache-2.0"
"bitflags","2.9.4","MIT OR Apache-2.0"
"blake2","0.10.6","MIT OR Apache-2.0"
"block","0.1.6","MIT"
"block-buffer","0.10.4","MIT OR Apache-2.0"
"borsh","1.5.7","MIT OR Apache-2.0"
"borsh-derive","1.5.7","Apache-2.0"
"bytemuck","1.24.0","Zlib OR Apache-2.0 OR MIT"
"bytemuck_derive","1.10.2","Zlib OR Apache-2.0 OR MIT"
"byteorder","1.5.0","Unlicense OR MIT"
"cfg-if","1.0.4","MIT OR Apache-2.0"
"cfg_aliases","0.2.1","MIT"
"cobs","0.3.0","MIT OR Apache-2.0"
"const-oid","0.9.6","Apache-2.0 OR MIT"
"core-foundation","0.9.4","MIT OR Apache-2.0"
"core-foundation-sys","0.8.7","MIT OR Apache-2.0"
"core-graphics-types","0.1.3","MIT OR Apache-2.0"
"cpufeatures","0.2.17","MIT OR Apache-2.0"
"crc32fast","1.5.0","MIT OR Apache-2.0"
"crypto-common","0.1.6","MIT OR Apache-2.0"
"deranged","0.5.4","MIT OR Apache-2.0"
"derivative","2.2.0","MIT/Apache-2.0"
"derive_more","2.0.1","MIT"
"derive_more-impl","2.0.1","MIT"
"digest","0.10.7","MIT OR Apache-2.0"
"downcast-rs","1.2.1","MIT/Apache-2.0"
"educe","0.6.0","MIT"
"either","1.15.0","MIT OR Apache-2.0"
"elf","0.7.4","MIT/Apache-2.0"
"embedded-io","0.4.0","MIT OR Apache-2.0"
"embedded-io","0.6.1","MIT OR Apache-2.0"
"enum-ordinalize","4.3.0","MIT"
"enum-ordinalize-derive","4.3.1","MIT"
"equivalent","1.0.2","Apache-2.0 OR MIT"
"errno","0.3.14","MIT OR Apache-2.0"
"fastrand","2.3.0","Apache-2.0 OR MIT"
"flate2","1.1.4","MIT OR Apache-2.0"
"fnv","1.0.7","Apache-2.0 / MIT"
"foreign-types","0.5.0","MIT/Apache-2.0"
"foreign-types-macros","0.2.3","MIT/Apache-2.0"
"foreign-types-shared","0.3.1","MIT/Apache-2.0"
"generic-array","0.14.9","MIT"
"getrandom","0.2.16","MIT OR Apache-2.0"
"getrandom","0.3.4","MIT OR Apache-2.0"
"hashbrown","0.15.5","MIT OR Apache-2.0"
"hashbrown","0.16.0","MIT OR Apache-2.0"
"hex","0.4.3","MIT OR Apache-2.0"
"hex-literal","0.4.1","MIT OR Apache-2.0"
"include_bytes_aligned","0.1.4","MIT"
"indexmap","2.11.4","Apache-2.0 OR MIT"
"itertools","0.13.0","MIT OR Apache-2.0"
"itoa","1.0.15","MIT OR Apache-2.0"
"keccak","0.1.5","Apache-2.0 OR MIT"
"lazy_static","1.5.0","MIT OR Apache-2.0"
"libc","0.2.186","MIT OR Apache-2.0"
"libm","0.2.15","MIT"
"libz-rs-sys","0.5.5","Zlib"
"linux-raw-sys","0.12.1","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"log","0.4.28","MIT OR Apache-2.0"
"malloc_buf","0.0.6","MIT"
"memchr","2.7.6","Unlicense OR MIT"
"merlin","3.0.0","MIT"
"metal","0.29.0","MIT OR Apache-2.0"
"miniz_oxide","0.8.9","MIT OR Zlib OR Apache-2.0"
"no_std_strings","0.1.3","MIT"
"num-bigint","0.4.6","MIT OR Apache-2.0"
"num-conv","0.1.0","MIT OR Apache-2.0"
"num-integer","0.1.46","MIT OR Apache-2.0"
"num-traits","0.2.19","MIT OR Apache-2.0"
"num_enum","0.7.4","BSD-3-Clause OR MIT OR Apache-2.0"
"num_enum_derive","0.7.4","BSD-3-Clause OR MIT OR Apache-2.0"
"objc","0.2.7","MIT"
"once_cell","1.21.3","MIT OR Apache-2.0"
"paste","1.0.15","MIT OR Apache-2.0"
"pin-project-lite","0.2.16","Apache-2.0 OR MIT"
"postcard","1.1.3","MIT OR Apache-2.0"
"powerfmt","0.2.0","MIT OR Apache-2.0"
"ppv-lite86","0.2.21","MIT OR Apache-2.0"
"proc-macro-crate","3.4.0","MIT OR Apache-2.0"
"proc-macro2","1.0.101","MIT OR Apache-2.0"
"proptest","1.8.0","MIT OR Apache-2.0"
"quote","1.0.41","MIT OR Apache-2.0"
"r-efi","5.3.0","MIT OR Apache-2.0 OR LGPL-2.1-or-later"
"rand","0.8.5","MIT OR Apache-2.0"
"rand","0.9.2","MIT OR Apache-2.0"
"rand_chacha","0.3.1","MIT OR Apache-2.0"
"rand_chacha","0.9.0","MIT OR Apache-2.0"
"rand_core","0.6.4","MIT OR Apache-2.0"
"rand_core","0.9.3","MIT OR Apache-2.0"
"rand_xorshift","0.4.0","MIT OR Apache-2.0"
"risc0-binfmt","3.0.4","Apache-2.0"
"risc0-circuit-keccak","4.0.5","Apache-2.0"
"risc0-circuit-recursion","4.0.4","Apache-2.0"
"risc0-circuit-rv32im","4.0.4","Apache-2.0"
"risc0-core","3.0.1","Apache-2.0"
"risc0-groth16","3.0.4","Apache-2.0"
"risc0-zkos-v1compat","2.2.2","Apache-2.0"
"risc0-zkp","3.0.4","Apache-2.0"
"risc0-zkvm","3.0.5","Apache-2.0"
"risc0-zkvm-platform","2.2.2","Apache-2.0"
"rrs-lib","0.1.0","Apache-2.0"
"ruint","1.17.0","MIT"
"ruint-macro","1.2.1","MIT"
"rustix","1.1.4","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"rustversion","1.0.22","MIT OR Apache-2.0"
"ryu","1.0.20","Apache-2.0 OR BSL-1.0"
"semver","1.0.27","MIT OR Apache-2.0"
"serde","1.0.228","MIT OR Apache-2.0"
"serde_core","1.0.228","MIT OR Apache-2.0"
"serde_derive","1.0.228","MIT OR Apache-2.0"
"serde_json","1.0.145","MIT OR Apache-2.0"
"sha2","0.10.9","MIT OR Apache-2.0"
"simd-adler32","0.3.7","MIT"
"spin","0.9.8","MIT"
"stability","0.2.1","MIT"
"subtle","2.6.1","BSD-3-Clause"
"syn","1.0.109","MIT OR Apache-2.0"
"syn","2.0.106","MIT OR Apache-2.0"
"tempfile","3.27.0","MIT OR Apache-2.0"
"thiserror","2.0.18","MIT OR Apache-2.0"
"thiserror-impl","2.0.18","MIT OR Apache-2.0"
"time","0.3.44","MIT OR Apache-2.0"
"time-core","0.1.6","MIT OR Apache-2.0"
"time-macros","0.2.24","MIT OR Apache-2.0"
"toml_datetime","0.7.3","MIT OR Apache-2.0"
"toml_edit","0.23.7","MIT OR Apache-2.0"
"toml_parser","1.0.4","MIT OR Apache-2.0"
"tracing","0.1.41","MIT"
"tracing-attributes","0.1.30","MIT"
"tracing-core","0.1.34","MIT"
"tracing-subscriber","0.2.25","MIT"
"typed-path","0.12.3","MIT OR Apache-2.0"
"typenum","1.19.0","MIT OR Apache-2.0"
"unarray","0.1.4","MIT OR Apache-2.0"
"unicode-ident","1.0.19","(MIT OR Apache-2.0) AND Unicode-3.0"
"unicode-xid","0.2.6","MIT OR Apache-2.0"
"valuable","0.1.1","MIT"
"verifier-service","0.1.0","Apache-2.0"
"version_check","0.9.5","MIT/Apache-2.0"
"wasi","0.11.1+wasi-snapshot-preview1","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"wasip2","1.0.1+wasi-0.2.4","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"windows-link","0.2.1","MIT OR Apache-2.0"
"windows-sys","0.61.2","MIT OR Apache-2.0"
"winnow","0.7.13","MIT"
"wit-bindgen","0.46.0","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"zerocopy","0.8.27","BSD-2-Clause OR Apache-2.0 OR MIT"
"zerocopy-derive","0.8.27","BSD-2-Clause OR Apache-2.0 OR MIT"
"zeroize","1.8.2","Apache-2.0 OR MIT"
"zeroize_derive","1.4.2","Apache-2.0 OR MIT"
"zip","8.6.0","MIT"
"zlib-rs","0.5.5","Zlib"
