"name","versions","license"
"@adobe/css-tools","4.4.3","MIT"
"@alloc/quick-lru","5.2.0","MIT"
"@ardatan/aggregate-error","0.0.6","MIT"
"@ardatan/relay-compiler","12.0.0,13.0.1","MIT"
"@asamuzakjp/css-color","5.1.11","MIT"
"@asamuzakjp/dom-selector","7.1.1","MIT"
"@asamuzakjp/generational-cache","1.0.1","MIT"
"@asamuzakjp/nwsapi","2.3.9","MIT"
"@babel/code-frame","7.29.0,7.29.7","MIT"
"@babel/compat-data","7.29.0,7.29.7","MIT"
"@babel/core","7.29.0,7.29.7","MIT"
"@babel/generator","7.0.0-beta.4,7.29.1,7.29.7","MIT"
"@babel/helper-annotate-as-pure","7.29.7","MIT"
"@babel/helper-compilation-targets","7.28.6,7.29.7","MIT"
"@babel/helper-create-class-features-plugin","7.29.7","MIT"
"@babel/helper-globals","7.28.0,7.29.7","MIT"
"@babel/helper-member-expression-to-functions","7.29.7","MIT"
"@babel/helper-module-imports","7.28.6,7.29.7","MIT"
"@babel/helper-module-transforms","7.28.6,7.29.7","MIT"
"@babel/helper-optimise-call-expression","7.29.7","MIT"
"@babel/helper-plugin-utils","7.29.7","MIT"
"@babel/helper-replace-supers","7.29.7","MIT"
"@babel/helper-skip-transparent-expression-wrappers","7.29.7","MIT"
"@babel/helper-string-parser","7.27.1,7.29.7","MIT"
"@babel/helper-validator-identifier","7.28.5,7.29.7","MIT"
"@babel/helper-validator-option","7.27.1,7.29.7","MIT"
"@babel/helpers","7.29.2,7.29.7","MIT"
"@babel/parser","7.29.3,7.29.7","MIT"
"@babel/plugin-proposal-class-properties","7.18.6","MIT"
"@babel/plugin-proposal-object-rest-spread","7.20.7","MIT"
"@babel/plugin-syntax-class-properties","7.12.13","MIT"
"@babel/plugin-syntax-flow","7.29.7","MIT"
"@babel/plugin-syntax-jsx","7.29.7","MIT"
"@babel/plugin-syntax-object-rest-spread","7.8.3","MIT"
"@babel/plugin-transform-arrow-functions","7.29.7","MIT"
"@babel/plugin-transform-block-scoped-functions","7.29.7","MIT"
"@babel/plugin-transform-block-scoping","7.29.7","MIT"
"@babel/plugin-transform-classes","7.29.7","MIT"
"@babel/plugin-transform-computed-properties","7.29.7","MIT"
"@babel/plugin-transform-destructuring","7.29.7","MIT"
"@babel/plugin-transform-flow-strip-types","7.29.7","MIT"
"@babel/plugin-transform-for-of","7.29.7","MIT"
"@babel/plugin-transform-function-name","7.29.7","MIT"
"@babel/plugin-transform-literals","7.29.7","MIT"
"@babel/plugin-transform-member-expression-literals","7.29.7","MIT"
"@babel/plugin-transform-modules-commonjs","7.29.7","MIT"
"@babel/plugin-transform-object-super","7.29.7","MIT"
"@babel/plugin-transform-parameters","7.29.7","MIT"
"@babel/plugin-transform-property-literals","7.29.7","MIT"
"@babel/plugin-transform-react-display-name","7.29.7","MIT"
"@babel/plugin-transform-react-jsx","7.29.7","MIT"
"@babel/plugin-transform-shorthand-properties","7.29.7","MIT"
"@babel/plugin-transform-spread","7.29.7","MIT"
"@babel/plugin-transform-template-literals","7.29.7","MIT"
"@babel/runtime","7.28.2,7.29.7","MIT"
"@babel/template","7.28.6,7.29.7","MIT"
"@babel/traverse","7.29.0,7.29.7","MIT"
"@babel/types","7.0.0-beta.4,7.29.0,7.29.7","MIT"
"@bcoe/v8-coverage","1.0.2","MIT"
"@bramus/specificity","2.4.2","MIT"
"@csstools/css-calc","3.2.0","MIT"
"@csstools/css-color-parser","4.1.0","MIT"
"@csstools/css-parser-algorithms","4.0.0","MIT"
"@csstools/css-tokenizer","4.0.0","MIT"
"@esbuild/linux-x64","0.25.12,0.28.0","MIT"
"@eslint-community/eslint-utils","4.9.1","MIT"
"@eslint-community/regexpp","4.12.2","MIT"
"@eslint/eslintrc","3.3.5","MIT"
"@eslint/js","9.39.2","MIT"
"@exodus/bytes","1.15.0","MIT"
"@fastify/busboy","3.2.0","MIT"
"@graphql-codegen/core","2.6.8","MIT"
"@graphql-codegen/plugin-helpers","1.18.8,3.1.2,7.0.1","MIT"
"@graphql-codegen/schema-ast","6.0.1","MIT"
"@graphql-codegen/typescript","6.0.2","MIT"
"@graphql-codegen/visitor-plugin-common","1.22.0,7.0.4","MIT"
"@graphql-tools/apollo-engine-loader","8.0.30","MIT"
"@graphql-tools/merge","8.4.2","MIT"
"@graphql-tools/optimize","1.4.0,2.0.0","MIT"
"@graphql-tools/relay-operation-optimizer","6.5.18,7.1.4","MIT"
"@graphql-tools/schema","9.0.19","MIT"
"@graphql-tools/utils","6.2.4,7.10.0,9.2.1,11.1.0","MIT"
"@graphql-typed-document-node/core","3.2.0","MIT"
"@img/colour","1.1.0","MIT"
"@inquirer/ansi","1.0.2","MIT"
"@inquirer/checkbox","4.3.2","MIT"
"@inquirer/confirm","5.1.21","MIT"
"@inquirer/core","10.3.2","MIT"
"@inquirer/editor","4.2.23","MIT"
"@inquirer/expand","4.0.23","MIT"
"@inquirer/external-editor","1.0.3","MIT"
"@inquirer/figures","1.0.15","MIT"
"@inquirer/input","4.3.1","MIT"
"@inquirer/number","3.0.23","MIT"
"@inquirer/password","4.0.23","MIT"
"@inquirer/prompts","7.10.1","MIT"
"@inquirer/rawlist","4.1.11","MIT"
"@inquirer/search","3.2.2","MIT"
"@inquirer/select","4.4.2","MIT"
"@inquirer/type","3.0.10","MIT"
"@jridgewell/gen-mapping","0.3.12,0.3.13","MIT"
"@jridgewell/remapping","2.3.5","MIT"
"@jridgewell/resolve-uri","3.1.2","MIT"
"@jridgewell/sourcemap-codec","1.5.5","MIT"
"@jridgewell/trace-mapping","0.3.29,0.3.31","MIT"
"@marsidev/react-turnstile","1.5.2","MIT"
"@next/env","16.2.6","MIT"
"@next/eslint-plugin-next","16.2.6","MIT"
"@next/swc-linux-x64-gnu","16.2.6","MIT"
"@noble/hashes","2.2.0","MIT"
"@nodable/entities","2.1.1","MIT"
"@nodelib/fs.scandir","2.1.5","MIT"
"@nodelib/fs.stat","2.0.5","MIT"
"@nodelib/fs.walk","1.2.8","MIT"
"@nolyfill/is-core-module","1.0.39","MIT"
"@oxc-project/types","0.132.0","MIT"
"@parcel/watcher","2.5.6","MIT"
"@parcel/watcher-linux-x64-glibc","2.5.6","MIT"
"@pkgjs/parseargs","0.11.0","MIT"
"@rolldown/binding-linux-x64-gnu","1.0.2","MIT"
"@rolldown/pluginutils","1.0.1","MIT"
"@rtsao/scc","1.1.0","MIT"
"@sec-ant/readable-stream","0.4.1","MIT"
"@sindresorhus/merge-streams","4.0.0","MIT"
"@standard-schema/spec","1.1.0","MIT"
"@tailwindcss/node","4.3.0","MIT"
"@tailwindcss/oxide","4.3.0","MIT"
"@tailwindcss/oxide-linux-x64-gnu","4.3.0","MIT"
"@tailwindcss/postcss","4.3.0","MIT"
"@testing-library/dom","10.4.1","MIT"
"@testing-library/jest-dom","6.9.1","MIT"
"@testing-library/react","16.3.2","MIT"
"@testing-library/user-event","14.6.1","MIT"
"@types/aria-query","5.0.4","MIT"
"@types/aws-lambda","8.10.161","MIT"
"@types/chai","5.2.3","MIT"
"@types/deep-eql","4.0.2","MIT"
"@types/estree","1.0.8,1.0.9","MIT"
"@types/fs-extra","11.0.4","MIT"
"@types/json-schema","7.0.15","MIT"
"@types/json5","0.0.29","MIT"
"@types/jsonfile","6.1.4","MIT"
"@types/lodash","4.17.24","MIT"
"@types/node","25.9.1","MIT"
"@types/react","19.2.15","MIT"
"@types/react-dom","19.2.3","MIT"
"@types/yauzl","2.10.3","MIT"
"@types/yazl","3.3.1","MIT"
"@typescript-eslint/eslint-plugin","8.59.4","MIT"
"@typescript-eslint/parser","8.59.4","MIT"
"@typescript-eslint/project-service","8.59.4","MIT"
"@typescript-eslint/scope-manager","8.59.4","MIT"
"@typescript-eslint/tsconfig-utils","8.59.4","MIT"
"@typescript-eslint/type-utils","8.59.4","MIT"
"@typescript-eslint/types","8.59.4","MIT"
"@typescript-eslint/typescript-estree","8.59.4","MIT"
"@typescript-eslint/utils","8.59.4","MIT"
"@typescript-eslint/visitor-keys","8.59.4","MIT"
"@typescript/vfs","1.3.6","MIT"
"@unrs/resolver-binding-linux-x64-gnu","1.11.1","MIT"
"@vitejs/plugin-react","6.0.2","MIT"
"@vitest/coverage-v8","4.1.7","MIT"
"@vitest/expect","4.1.7","MIT"
"@vitest/mocker","4.1.7","MIT"
"@vitest/pretty-format","4.1.7","MIT"
"@vitest/runner","4.1.7","MIT"
"@vitest/snapshot","4.1.7","MIT"
"@vitest/spy","4.1.7","MIT"
"@vitest/utils","4.1.7","MIT"
"@whatwg-node/disposablestack","0.0.6","MIT"
"@whatwg-node/fetch","0.10.13","MIT"
"@whatwg-node/node-fetch","0.8.5","MIT"
"@whatwg-node/promise-helpers","1.3.2","MIT"
"abort-controller","3.0.0","MIT"
"acorn","8.15.0","MIT"
"acorn-jsx","5.3.2","MIT"
"ajv","6.14.0,8.20.0","MIT"
"ansi-regex","5.0.1,6.2.2","MIT"
"ansi-styles","3.2.1,4.3.0,5.2.0,6.2.3","MIT"
"archiver","7.0.1","MIT"
"archiver-utils","5.0.2","MIT"
"array-buffer-byte-length","1.0.2","MIT"
"array-includes","3.1.9","MIT"
"array-union","2.1.0","MIT"
"array.prototype.findlast","1.2.5","MIT"
"array.prototype.findlastindex","1.2.6","MIT"
"array.prototype.flat","1.3.3","MIT"
"array.prototype.flatmap","1.3.3","MIT"
"array.prototype.tosorted","1.1.4","MIT"
"arraybuffer.prototype.slice","1.0.4","MIT"
"asap","2.0.6","MIT"
"assertion-error","2.0.1","MIT"
"ast-types-flow","0.0.8","MIT"
"ast-v8-to-istanbul","1.0.0","MIT"
"astral-regex","2.0.0","MIT"
"async","3.2.6","MIT"
"async-function","1.0.0","MIT"
"auto-bind","4.0.0,5.0.1","MIT"
"autoprefixer","10.5.0","MIT"
"available-typed-arrays","1.0.7","MIT"
"babel-generator","6.26.1","MIT"
"babel-messages","6.23.0","MIT"
"babel-plugin-syntax-trailing-function-commas","7.0.0-beta.0","MIT"
"babel-preset-fbjs","3.4.0","MIT"
"babel-runtime","6.26.0","MIT"
"babel-types","6.26.0","MIT"
"balanced-match","1.0.2,4.0.4","MIT"
"base64-js","1.5.1","MIT"
"bidi-js","1.0.3","MIT"
"bowser","2.14.1","MIT"
"brace-expansion","1.1.12,2.1.1,5.0.6","MIT"
"braces","3.0.3","MIT"
"browserslist","4.28.2","MIT"
"buffer","5.6.0,6.0.3","MIT"
"buffer-crc32","0.2.13,1.0.0","MIT"
"buffer-from","1.1.2","MIT"
"bundle-name","4.1.0","MIT"
"call-bind","1.0.9","MIT"
"call-bind-apply-helpers","1.0.2","MIT"
"call-bound","1.0.4","MIT"
"callsites","3.1.0","MIT"
"camel-case","4.1.1,4.1.2","MIT"
"camelcase","5.3.1","MIT"
"capital-case","1.0.4","MIT"
"chai","6.2.2","MIT"
