"name","versions","license"
"@aws-crypto/crc32","5.2.0","Apache-2.0"
"@aws-crypto/crc32c","5.2.0","Apache-2.0"
"@aws-crypto/sha1-browser","5.2.0","Apache-2.0"
"@aws-crypto/sha256-browser","5.2.0","Apache-2.0"
"@aws-crypto/sha256-js","5.2.0","Apache-2.0"
"@aws-crypto/supports-web-crypto","5.2.0","Apache-2.0"
"@aws-crypto/util","5.2.0","Apache-2.0"
"@aws-sdk/client-cognito-identity","3.1056.0","Apache-2.0"
"@aws-sdk/client-dynamodb","3.1056.0","Apache-2.0"
"@aws-sdk/client-ecr","3.1056.0","Apache-2.0"
"@aws-sdk/client-lambda","3.1056.0","Apache-2.0"
"@aws-sdk/client-s3","3.1056.0","Apache-2.0"
"@aws-sdk/client-sfn","3.1056.0","Apache-2.0"
"@aws-sdk/client-sqs","3.1056.0","Apache-2.0"
"@aws-sdk/core","3.974.15","Apache-2.0"
"@aws-sdk/crc64-nvme","3.972.9","Apache-2.0"
"@aws-sdk/credential-provider-cognito-identity","3.972.38","Apache-2.0"
"@aws-sdk/credential-provider-env","3.972.41","Apache-2.0"
"@aws-sdk/credential-provider-http","3.972.43","Apache-2.0"
"@aws-sdk/credential-provider-ini","3.972.45","Apache-2.0"
"@aws-sdk/credential-provider-login","3.972.45","Apache-2.0"
"@aws-sdk/credential-provider-node","3.972.46","Apache-2.0"
"@aws-sdk/credential-provider-process","3.972.41","Apache-2.0"
"@aws-sdk/credential-provider-sso","3.972.45","Apache-2.0"
"@aws-sdk/credential-provider-web-identity","3.972.45","Apache-2.0"
"@aws-sdk/credential-providers","3.1056.0","Apache-2.0"
"@aws-sdk/dynamodb-codec","3.973.15","Apache-2.0"
"@aws-sdk/endpoint-cache","3.972.5","Apache-2.0"
"@aws-sdk/lib-dynamodb","3.1056.0","Apache-2.0"
"@aws-sdk/middleware-bucket-endpoint","3.972.17","Apache-2.0"
"@aws-sdk/middleware-endpoint-discovery","3.972.15","Apache-2.0"
"@aws-sdk/middleware-expect-continue","3.972.14","Apache-2.0"
"@aws-sdk/middleware-flexible-checksums","3.974.23","Apache-2.0"
"@aws-sdk/middleware-location-constraint","3.972.11","Apache-2.0"
"@aws-sdk/middleware-sdk-s3","3.972.44","Apache-2.0"
"@aws-sdk/middleware-sdk-sqs","3.972.26","Apache-2.0"
"@aws-sdk/middleware-ssec","3.972.11","Apache-2.0"
"@aws-sdk/nested-clients","3.997.13","Apache-2.0"
"@aws-sdk/s3-request-presigner","3.1056.0","Apache-2.0"
"@aws-sdk/signature-v4-multi-region","3.996.30","Apache-2.0"
"@aws-sdk/token-providers","3.1056.0","Apache-2.0"
"@aws-sdk/types","3.910.0,3.973.9","Apache-2.0"
"@aws-sdk/util-dynamodb","3.996.2","Apache-2.0"
"@aws-sdk/util-locate-window","3.965.5","Apache-2.0"
"@aws-sdk/xml-builder","3.972.26","Apache-2.0"
"@aws/lambda-invoke-store","0.2.4","Apache-2.0"
"@img/sharp-linux-x64","0.34.5","Apache-2.0"
"@opentelemetry/api","1.9.1","Apache-2.0"
"@playwright/test","1.60.0","Apache-2.0"
"@smithy/core","3.24.5","Apache-2.0"
"@smithy/credential-provider-imds","4.3.5","Apache-2.0"
"@smithy/fetch-http-handler","5.4.5","Apache-2.0"
"@smithy/is-array-buffer","2.2.0","Apache-2.0"
"@smithy/node-http-handler","4.7.5","Apache-2.0"
"@smithy/protocol-http","5.4.5","Apache-2.0"
"@smithy/signature-v4","5.4.5","Apache-2.0"
"@smithy/types","4.14.2","Apache-2.0"
"@smithy/util-buffer-from","2.2.0","Apache-2.0"
"@smithy/util-utf8","2.3.0","Apache-2.0"
"@swc/helpers","0.5.15","Apache-2.0"
"baseline-browser-mapping","2.10.13,2.10.29","Apache-2.0"
"detect-libc","2.1.2","Apache-2.0"
"playwright","1.60.0","Apache-2.0"
"playwright-core","1.60.0","Apache-2.0"
"sharp","0.34.5","Apache-2.0"
"@babel/code-frame","7.29.0","MIT"
"@babel/compat-data","7.29.0","MIT"
"@babel/core","7.29.0","MIT"
"@babel/generator","7.29.1","MIT"
"@babel/helper-compilation-targets","7.28.6","MIT"
"@babel/helper-globals","7.28.0","MIT"
"@babel/helper-module-imports","7.28.6","MIT"
"@babel/helper-module-transforms","7.28.6","MIT"
"@babel/helper-string-parser","7.27.1","MIT"
"@babel/helper-validator-identifier","7.28.5","MIT"
"@babel/helper-validator-option","7.27.1","MIT"
"@babel/helpers","7.29.2","MIT"
"@babel/parser","7.29.3","MIT"
"@babel/template","7.28.6","MIT"
"@babel/traverse","7.29.0","MIT"
"@babel/types","7.29.0","MIT"
"@img/colour","1.1.0","MIT"
"@jridgewell/gen-mapping","0.3.12,0.3.13","MIT"
"@jridgewell/remapping","2.3.5","MIT"
"@jridgewell/resolve-uri","3.1.2","MIT"
"@jridgewell/sourcemap-codec","1.5.5","MIT"
"@jridgewell/trace-mapping","0.3.29,0.3.31","MIT"
"@marsidev/react-turnstile","1.5.2","MIT"
"@next/env","16.2.6","MIT"
"@next/swc-linux-x64-gnu","16.2.6","MIT"
"@noble/hashes","2.2.0","MIT"
"@nodable/entities","2.1.1","MIT"
"bowser","2.14.1","MIT"
"browserslist","4.28.2","MIT"
"buffer-crc32","0.2.13,1.0.0","MIT"
"client-only","0.0.1","MIT"
"convert-source-map","2.0.0","MIT"
"debug","4.4.3","MIT"
"escalade","3.2.0","MIT"
"fast-xml-builder","1.2.0","MIT"
"fast-xml-parser","5.7.3","MIT"
"gensync","1.0.0-beta.2","MIT"
"hono","4.12.23","MIT"
"js-tokens","4.0.0","MIT"
"jsesc","3.1.0","MIT"
"json5","2.2.3","MIT"
"mnemonist","0.38.3","MIT"
"ms","2.1.3","MIT"
"nanoid","3.3.12","MIT"
"next","16.2.6","MIT"
"node-releases","2.0.37","MIT"
"obliterator","1.6.1","MIT"
"path-expression-matcher","1.5.0","MIT"
"pend","1.2.0","MIT"
"postcss","8.4.31","MIT"
"react","19.2.6","MIT"
"react-dom","19.2.6","MIT"
"scheduler","0.27.0","MIT"
"strnum","2.3.0","MIT"
"styled-jsx","5.1.6","MIT"
"update-browserslist-db","1.2.3","MIT"
"xml-naming","0.1.0","MIT"
"yauzl","3.3.1","MIT"
"yazl","3.3.1","MIT"
"zod","3.25.17","MIT"
"@img/sharp-libvips-linux-x64","1.2.4","LGPL-3.0-or-later"
"caniuse-lite","1.0.30001788,1.0.30001792","CC-BY-4.0"
"electron-to-chromium","1.5.331","ISC"
"lru-cache","5.1.1","ISC"
"lucide-react","1.17.0","ISC"
"picocolors","1.1.1","ISC"
"semver","6.3.1,7.8.0","ISC"
"yallist","3.1.1","ISC"
"source-map-js","1.2.1","BSD-3-Clause"
"tslib","2.8.1","0BSD"
